Site,Transect,Species,cm,rugosity,Diff,COT,
J,6,Porites lobata,244,,9,,
J,6,Porites lobata,251,,7,,
J,6,Porites annae,271,,20,,
J,6,Porites lobata,275,,4,,
J,6,Carbonate,291,,16,,
J,6,Porites annae,315,,24,,
J,6,Carbonate,330,,15,,
J,6,Porites cylindrica,355,,25,,
J,6,Porites annae,385,,30,,
J,6,Sand and rubble,430,,45,,
J,6,Porites lobata,435,,5,,
J,6,Sand and rubble,445,,10,,
J,6,Porites lobata,452,,7,,
J,6,Porites rus,463,,11,,
J,6,Sand and rubble,465,,2,,
J,6,Porites rus,475,,10,,
J,6,Sponge,495,,20,,
J,6,Porites rus,503,,8,,
J,6,Porites annae,521,,18,,
J,6,Porites rus,535,,14,,
J,6,Porites annae,568,,33,,
J,6,Sand and rubble,582,,14,,
J,6,Porites rus,594,,12,,
J,6,Sand and rubble,598,,4,,
J,6,Porites rus,612,,14,,
J,6,Porites annae,615,,3,,
J,6,Porites rus,635,,20,,
J,6,Porites attenuata,645,,10,,
J,6,Carbonate,662,,17,,
J,6,Sand and rubble,703,,41,,
J,6,Porites rus,715,,12,,
J,6,Sand and rubble,725,,10,,
J,6,Porites rus,728,,3,,
J,6,Carbonate,735,,7,,
J,6,Porites rus,768,,33,,
J,6,Porites annae,805,,37,,
J,6,Carbonate,832,,27,,
J,6,Porites rus,851,,19,,
J,6,Sand and rubble,859,,8,,
J,6,Goniopora,863,,4,,
J,6,Porites annae,875,,12,,
J,6,Carbonate,883,,8,,
J,6,Porites rus,915,,32,,
J,6,Carbonate,962,,47,,
J,6,Porites annae,975,,13,,
J,6,Sand and rubble,1000,,25,,
B,1,Acropora hyacinthus,45,9.3,45,1,
B,1,Acropora digitifera,52,,7,,
B,1,Coralline algae,71,,19,,
B,1,Macroalgae Chlorodesmis,75,,4,,
B,1,Acropora robusta,85,,10,,
B,1,Coralline algae,93,,8,,
B,1,Galaxea fascicularis,98,,5,,
B,1,Coralline algae,105,,7,,
B,1,Galaxea fascicularis,112,,7,,
B,1,Coralline algae,135,,23,,
B,1,Porites vaughani,138,,3,,
B,1,Coralline algae,141,,3,,
B,1,Acropora digitifera,153,,12,,
B,1,Coralline algae,182,,29,,
B,1,Galaxea fascicularis,212,,30,,
B,1,Carbonate,251,,39,,
B,1,Acropora nasuta,272,,21,,
B,1,Carbonate,285,,13,,
B,1,Acropora nasuta,289,,4,,
B,1,Coralline algae,300,,11,,
B,1,Galaxea fascicularis,312,,12,,
B,1,Coralline algae,340,,28,,
B,1,Macroalgae Halimeda,348,,8,,
B,1,Acropora divaricata,371,,23,,
B,1,Coralline algae Lithothamnion,375,,4,,
B,1,Carbonate,384,,9,,
B,1,Macroalgae Halimeda,392,,8,,
B,1,Porites annae,401,,9,,
B,1,Coralline algae,412,,11,,
B,1,Porites annae,420,,8,,
B,1,Coralline algae,441,,21,,
B,1,Acropora hyacinthus,473,,32,,
B,1,Carbonate,492,,19,,
B,1,Coralline algae,493,,1,,
B,1,Acropora hyacinthus,503,,10,,
B,1,Dead Coralline algae,520,,17,,
B,1,Carbonate,540,,20,,
B,1,Acropora samoensis,562,,22,,
B,1,Acropora hyacinthus,568,,6,,
B,1,Carbonate,581,,13,,
B,1,Coralline algae,592,,11,,
B,1,encrusting Sponge,607,,15,,
B,1,Carbonate,625,,18,,
B,1,Porites annae,630,,5,,
B,1,Coralline algae,640,,10,,
B,1,Carbonate,665,,25,,
B,1,Coralline algae,680,,15,,
B,1,Pavona varians,685,,5,,
B,1,Carbonate,689,,4,,
B,1,Goniastrea retiformis,695,,6,,
B,1,Coralline algae,713,,18,,
B,1,Acropora nasuta,718,,5,,
B,1,Goniastrea retiformis,723,,5,,
B,1,Carbonate,762,,39,,
B,1,Goniastrea retiformis,773,,11,,
B,1,Acropora hyacinthus,796,,23,,
B,1,Carbonate,829,,33,,
B,1,Montipora,842,,13,,
B,1,Carbonate,855,,13,,
B,1,Coralline algae,872,,17,,
B,1,Montipora,913,,41,,
B,1,Carbonate,916,,3,,
B,1,Palythoa,922,,6,,
B,1,Galaxea fascicularis,928,,6,,
B,1,Coralline algae,942,,14,,
B,1,Carbonate,970,,28,,
B,1,Porites annae,982,,12,,
B,1,Carbonate,1000,,18,,
B,2,Coralline algae,15,8.6,15,0,
B,2,Carbonate,24,,9,,
B,2,Macroalgae Halimeda,45,,21,,
B,2,Galaxea fascicularis,52,,7,,
B,2,Acropora nasuta,72,,20,,
B,2,Porites rus,74,,2,,
B,2,Macroalgae Halimeda,80,,6,,
B,2,Turf algae,91,,11,,
B,2,Carbonate,110,,19,,
B,2,Sinularia,115,,5,,
B,2,Porites annae,125,,10,,
B,2,Coralline algae,132,,7,,
B,2,Macroalgae Halimeda,144,,12,,
B,2,Sinularia,145,,1,,
B,2,Carbonate,153,,8,,
B,2,Sinularia,165,,12,,
B,2,Macroalgae Halimeda,174,,9,,
B,2,Acropora robusta,184,,10,,
B,2,Acropora polystoma,195,,11,,
B,2,Galaxea fascicularis,215,,20,,
B,2,Macroalgae Halimeda,218,,3,,
B,2,Montipora encrusting,230,,12,,
B,2,Coralline algae,245,,15,,
B,2,Carbonate,275,,30,,
B,2,Macroalgae Halimeda,280,,5,,
B,2,Carbonate,294,,14,,
B,2,Coralline algae,305,,11,,
B,2,encrusting Sponge,310,,5,,
B,2,Goniastrea retiformis,321,,11,,
B,2,encrusting Sponge,340,,19,,
B,2,Carbonate,352,,12,,
B,2,encrusting Sponge,365,,13,,
B,2,Carbonate,415,,50,,
B,2,Montipora encrusting,420,,5,,
B,2,Coralline algae,430,,10,,
B,2,Macroalgae Halimeda,442,,12,,
B,2,Coralline algae,451,,9,,
B,2,Macroalgae Halimeda,492,,41,,
B,2,Montipora encrusting,502,,10,,
B,2,Turf algae,545,,43,,
B,2,Montipora encrusting,553,,8,,
B,2,Coralline algae,572,,19,,
B,2,Carbonate,575,,3,,
B,2,Coralline algae,604,,29,,
B,2,Carbonate,650,,46,,
B,2,Coralline algae,658,,8,,
B,2,Carbonate,682,,24,,
B,2,Acropora digitifera,701,,19,,
B,2,Acropora nasuta,721,,20,,
B,2,Dead Coralline algae,742,,21,,
B,2,Acropora hyacinthus,752,,10,,
B,2,Sinularia,758,,6,,
B,2,Dead Coralline algae,796,,38,,
B,2,Macroalgae Halimeda,815,,19,,
B,2,encrusting Sponge,830,,15,,
B,2,Coralline algae,835,,5,,
B,2,Montipora encrusting,842,,7,,
B,2,Macroalgae Halimeda,851,,9,,
B,2,Acropora digitifera,865,,14,,
B,2,Montipora encrusting,876,,11,,
B,2,Macroalgae Halimeda,902,,26,,
B,2,Acropora polystoma,917,,15,,
B,2,Macroalgae Halimeda,920,,3,,
B,2,Carbonate,973,,53,,
B,2,Coralline algae,995,,22,,
B,2,Turf algae,1000,,5,,
B,3,Coralline algae,38,8.1,38,1,
B,3,Macroalgae Halimeda,51,,13,,
B,3,Goniastrea retiformis,65,,14,,
B,3,Macroalgae Halimeda,72,,7,,
B,3,Carbonate,125,,53,,
B,3,Coralline algae,141,,16,,
B,3,Carbonate,171,,30,,
B,3,Acropora polystoma,195,,24,,
B,3,Carbonate,203,,8,,
B,3,Acropora hyacinthus,235,,32,,
B,3,Coralline algae,241,,6,,
B,3,Carbonate,272,,31,,
B,3,Coralline algae,281,,9,,
B,3,Macroalgae Halimeda,302,,21,,
B,3,Coralline algae,315,,13,,
B,3,Macroalgae Halimeda,320,,5,,
B,3,Coralline algae Lithothamnion,322,,2,,
B,3,Carbonate,335,,13,,
B,3,Coralline algae,361,,26,,
B,3,Leptastrea purpurea,365,,4,,
B,3,Coralline algae,391,,26,,
B,3,Acropora hyacinthus,403,,12,,
B,3,Porites annae,412,,9,,
B,3,Carbonate,451,,39,,
B,3,Coralline algae,472,,21,,
B,3,Carbonate,484,,12,,
B,3,Acropora nasuta,503,,19,,
B,3,Coralline algae,545,,42,,
B,3,Acropora hyacinthus,554,,9,,
B,3,Coralline algae,622,,68,,
B,3,Acropora nasuta,643,,21,,
B,3,Carbonate,702,,59,,
B,3,Coralline algae,712,,10,,
B,3,Porites vaughani,735,,23,,
B,3,Coralline algae,760,,25,,
B,3,Carbonate,820,,60,,
B,3,Coralline algae,825,,5,,
B,3,Carbonate,829,,4,,
B,3,Macroalgae Halimeda,842,,13,,
B,3,Carbonate,850,,8,,
B,3,Porites vaughani,860,,10,,
B,3,Coralline algae,891,,31,,
B,3,Acropora subulata,900,,9,,
B,3,Coralline algae,905,,5,,
B,3,Acropora hyacinthus,925,,20,,
B,3,Hydnophora microconus,938,,13,,
B,3,Coralline algae,943,,5,,
B,3,Hydnophora microconus,965,,22,,
B,3,Coralline algae Lithothamnion,982,,17,,
B,3,Galaxea fascicularis,985,,3,,
B,3,Montipora encrusting,1000,,15,,
B,4,Acropora nasuta,12,9.1,12,2,
B,4,Acropora nasuta,25,,13,,
B,4,Acropora nasuta,44,,19,,
B,4,Dead Coralline algae,135,,91,,
B,4,Coralline algae,175,,40,,
B,4,Montipora encrusting,182,,7,,
B,4,Coralline algae,192,,10,,
B,4,Montipora encrusting,212,,20,,
B,4,Coralline algae,221,,9,,
B,4,Montipora encrusting,225,,4,,
B,4,Coralline algae,227,,2,,
B,4,Montipora encrusting,235,,8,,
B,4,Coralline algae,312,,77,,
B,4,Porites vaughani,315,,3,,
B,4,Carbonate,324,,9,,
B,4,Porites vaughani,335,,11,,
B,4,Coralline algae,338,,3,,
B,4,Acropora hyacinthus,386,,48,,
B,4,encrusting Sponge,391,,5,,
B,4,Coralline algae,415,,24,,
B,4,Porites annae,418,,3,,
B,4,Macroalgae Halimeda,420,,2,,
B,4,Carbonate,452,,32,,
B,4,Porites vaughani,458,,6,,
B,4,Macroalgae Halimeda,462,,4,,
B,4,Porites annae,475,,13,,
B,4,Coralline algae,483,,8,,
B,4,Macroalgae Chlorodesmis,485,,2,,
B,4,Coralline algae,502,,17,,
B,4,Acropora polystoma,515,,13,,
B,4,Carbonate,575,,60,,
B,4,Pocillopora eydouxi,596,,21,,
B,4,Coralline algae,603,,7,,
B,4,Carbonate,615,,12,,
B,4,Acropora hyacinthus,628,,13,,
B,4,Macroalgae Halimeda,630,,2,,
B,4,Acropora nasuta,656,,26,,
B,4,Montipora encrusting,670,,14,,
B,4,Coralline algae Porolithon,683,,13,,
B,4,Carbonate,705,,22,,
B,4,Acropora samoensis,715,,10,,
B,4,Carbonate,752,,37,,
B,4,Goniastrea retiformis,761,,9,,
B,4,Carbonate,770,,9,,
B,4,Acropora nasuta,781,,11,,
B,4,Coralline algae,793,,12,,
B,4,Goniastrea retiformis,802,,9,,
B,4,Coralline algae,810,,8,,
B,4,Acropora hyacinthus,845,,35,,
B,4,Macroalgae Halimeda,852,,7,,
B,4,Sinularia,863,,11,,
B,4,Coralline algae,962,,99,,
B,4,Porites vaughani,968,,6,,
B,4,Carbonate,1000,,32,,
B,5,Coralline algae,32,,32,,
B,5,Acropora secale,40,,8,,
B,5,Carbonate,45,,5,,
B,5,Montipora encrusting,54,,9,,
B,5,Coralline algae,65,,11,,
B,5,Carbonate,103,,38,,
B,5,Coralline algae,113,,10,,
B,5,Coralline algae Lithothamnion,115,,2,,
B,5,Coralline algae,145,,30,,
B,5,Acropora nasuta,160,,15,,
B,5,Acropora hyacinthus,185,,25,,
B,5,Carbonate,205,,20,,
B,5,Acropora robusta,218,,13,,
B,5,Carbonate,235,,17,,
B,5,Acropora nasuta,242,,7,,
B,5,Coralline algae,270,,28,,
B,5,Goniastrea retiformis,291,,21,,
B,5,Carbonate,302,,11,,
B,5,Coralline algae,315,,13,,
B,5,Carbonate,321,,6,,
B,5,Pavona varians,325,,4,,
B,5,Coralline algae,325,,0,,
B,5,Carbonate,365,,40,,
B,5,Coralline algae,371,,6,,
B,5,Carbonate,390,,19,,
B,5,Coralline algae,397,,7,,
B,5,encrusting Sponge,426,,29,,
B,5,Coralline algae,437,,11,,
B,5,encrusting Sponge,465,,28,,
B,5,Macroalgae Halimeda,471,,6,,
B,5,Carbonate,490,,19,,
B,5,Coralline algae,493,,3,,
B,5,Montipora encrusting,513,,20,,
B,5,Coralline algae,519,,6,,
B,5,Carbonate,551,,32,,
B,5,Acropora hyacinthus,563,,12,,
B,5,Coralline algae,571,,8,,
B,5,Carbonate,585,,14,,
B,5,Coralline algae,615,,30,,
B,5,encrusting Sponge,642,,27,,
B,5,Coralline algae,665,,23,,
B,5,Carbonate,673,,8,,
B,5,Coralline algae,725,,52,,
B,5,Carbonate,792,,67,,
B,5,Montipora encrusting,825,,33,,
B,5,Acropora latistella,831,,6,,
B,5,Acropora nasuta,845,,14,,
B,5,Coralline algae,862,,17,,
B,5,Acropora nasuta,880,,18,,
B,5,Coralline algae,884,,4,,
B,5,Goniastrea retiformis,887,,3,,
B,5,Carbonate,889,,2,,
B,5,Coralline algae,912,,23,,
B,5,Carbonate,920,,8,,
B,5,Coralline algae,965,,45,,
B,5,Acropora nasuta,981,,16,,
B,5,Carbonate,991,,10,,
B,5,Coralline algae,1000,,9,,
B,6,Coralline algae,34,9,34,2,
B,6,Carbonate,52,,18,,
B,6,Acropora latistella,75,,23,,
B,6,Carbonate,91,,16,,
B,6,Acropora nasuta,105,,14,,
B,6,Macroalgae Halimeda,109,,4,,
B,6,Galaxea fascicularis,112,,3,,
B,6,Coralline algae,125,,13,,
B,6,Carbonate,134,,9,,
B,6,Coralline algae Lithothamnion,145,,11,,
B,6,Carbonate,195,,50,,
B,6,Coralline algae,204,,9,,
B,6,Carbonate,225,,21,,
B,6,Acropora secale,231,,6,,
B,6,Coralline algae,238,,7,,
B,6,Carbonate,240,,2,,
B,6,Coralline algae,252,,12,,
B,6,Macroalgae Halimeda,261,,9,,
B,6,Porites annae,265,,4,,
B,6,Macroalgae Halimeda,275,,10,,
B,6,Coralline algae,292,,17,,
B,6,Montipora encrusting,295,,3,,
B,6,Carbonate,315,,20,,
B,6,Coralline algae,341,,26,,
B,6,Carbonate,363,,22,,
B,6,Coralline algae Lithothamnion,365,,2,,
B,6,Coralline algae,384,,19,,
B,6,Montipora encrusting,394,,10,,
B,6,Macroalgae Halimeda,421,,27,,
B,6,encrusting Sponge,439,,18,,
B,6,Coralline algae,451,,12,,
B,6,Porites annae,460,,9,,
B,6,Porites rus,466,,6,,
B,6,Carbonate,471,,5,,
B,6,Galaxea fascicularis,492,,21,,
B,6,Coralline algae,516,,24,,
B,6,Carbonate,540,,24,,
B,6,Macroalgae Halimeda,545,,5,,
B,6,Coralline algae,550,,5,,
B,6,Macroalgae Halimeda,575,,25,,
B,6,Coralline algae,585,,10,,
B,6,Macroalgae Halimeda,595,,10,,
B,6,Coralline algae,605,,10,,
B,6,Carbonate,625,,20,,
B,6,Coralline algae,629,,4,,
B,6,Porites vaughani,635,,6,,
B,6,Carbonate,652,,17,,
B,6,Coralline algae,662,,10,,
B,6,encrusting Sponge,671,,9,,
B,6,Porites vaughani,678,,7,,
B,6,Carbonate,710,,32,,
B,6,Ascidian,725,,15,,
B,6,Coralline algae,728,,3,,
B,6,Carbonate,775,,47,,
B,6,Macroalgae Halimeda,780,,5,,
B,6,Carbonate,846,,66,,
B,6,Coralline algae Lithothamnion,849,,3,,
B,6,Acropora nasuta,893,,44,,
B,6,Carbonate,920,,27,,
B,6,Acropora subulata,931,,11,,
B,6,Coralline algae,952,,21,,
B,6,Acropora hyacinthus,965,,13,,
B,6,Coralline algae,985,,20,,
B,6,Acropora nasuta,1000,,15,,
V,1,Porites rus,26,9.5,26,,
V,1,Porites lobata,35,,9,,
V,1,Carbonate,42,,7,,
V,1,Porites lobata,52,,10,,
V,1,Carbonate,71,,19,,
V,1,Porites lobata,84,,13,,
V,1,Porites rus,105,,21,,
V,1,Carbonate,115,,10,,
V,1,Porites lobata,128,,13,,
V,1,Carbonate,165,,37,,
V,1,encrusting Sponge,172,,7,,
V,1,Carbonate,191,,19,,
V,1,Porites annae,231,,40,,
V,1,Carbonate,250,,19,,
V,1,Porites lobata,265,,15,,
V,1,Porites rus,281,,16,,
V,1,Porites lobata,462,,181,,
V,1,Carbonate,481,,19,,
V,1,Porites lobata,502,,21,,
V,1,Carbonate,521,,19,,
V,1,Porites cylindrica,563,,42,,
V,1,Porites rus,575,,12,,
V,1,Porites cylindrica,612,,37,,
V,1,Porites rus,615,,3,,
V,1,Porites cylindrica,641,,26,,
V,1,Porites rus,652,,11,,
V,1,Sand and rubble,675,,23,,
V,1,Porites cylindrica,704,,29,,
V,1,Carbonate,735,,31,,
V,1,Porites lobata,741,,6,,
V,1,Carbonate,772,,31,,
V,1,Porites lobata,785,,13,,
V,1,Porites rus,804,,19,,
V,1,Carbonate,861,,57,,
V,1,Porites cylindrica,874,,13,,
V,1,Porites rus,892,,18,,
V,1,Porites cylindrica,895,,3,,
V,1,Porites rus,912,,17,,
V,1,Porites cylindrica,920,,8,,
V,1,Carbonate,954,,34,,
V,1,Porites cylindrica,962,,8,,
V,1,Porites rus,1000,,38,,
V,2,Porites cylindrica,81,7.3,81,,
V,2,Carbonate,96,,15,,
V,2,Porites cylindrica,98,,2,,
V,2,Carbonate,134,,36,,
V,2,Porites cylindrica,151,,17,,
V,2,Macroalgae Halimeda,153,,2,,
V,2,Carbonate,162,,9,,
V,2,Porites cylindrica,205,,43,,
V,2,Ctenactis,225,,20,,
V,2,Macroalgae Halimeda,244,,19,,
V,2,Porites cylindrica,282,,38,,
V,2,Macroalgae Dictyota,291,,9,,
V,2,Porites cylindrica,341,,50,,
V,2,Porites rus,374,,33,,
V,2,Porites cylindrica,395,,21,,
V,2,Carbonate,402,,7,,
V,2,Porites cylindrica,415,,13,,
V,2,Carbonate,429,,14,,
V,2,Porites cylindrica,425,,-4,,
V,2,Fungia,442,,17,,
V,2,Porites cylindrica,475,,33,,
V,2,Macroalgae Halimeda,479,,4,,
V,2,Porites rus,512,,33,,
V,2,Macroalgae Halimeda,515,,3,,
V,2,Porites cylindrica,576,,61,,
V,2,Porites rus,595,,19,,
V,2,Porites cylindrica,603,,8,,
V,2,Porites rus,620,,17,,
V,2,Carbonate,635,,15,,
V,2,Sand and rubble,635,,0,,
V,2,Porites rus,642,,7,,
V,2,Sand and rubble,645,,3,,
V,2,Porites rus,674,,29,,
V,2,Porites cylindrica,692,,18,,
V,2,Porites rus,715,,23,,
V,2,Carbonate,741,,26,,
V,2,Porites rus,748,,7,,
V,2,Coralline algae,752,,4,,
V,2,Porites cylindrica,775,,23,,
V,2,Porites rus,815,,40,,
V,2,Rubble,842,,27,,
V,2,Macroalgae Halimeda,847,,5,,
V,2,Rubble,856,,9,,
V,2,Porites cylindrica,865,,9,,
V,2,Macroalgae Halimeda,915,,50,,
V,2,Porites cylindrica,975,,60,,
V,2,Rubble,992,,17,,
V,2,Porites cylindrica,1000,,8,,
V,3,Porites cylindrica,32,6.8,32,,
V,3,Carbonate,52,,20,,
V,3,Porites rus,58,,6,,
V,3,Carbonate,71,,13,,
V,3,Porites cylindrica,85,,14,,
V,3,Carbonate,115,,30,,
V,3,Sponge,118,,3,,
V,3,Carbonate,132,,14,,
V,3,Sponge,134,,2,,
V,3,Carbonate,185,,51,,
V,3,Favia favus,192,,7,,
V,3,Sand and rubble,235,,43,,
V,3,Macroalgae Halimeda,239,,4,,
