Site,Transect,Species,cm,rugosity,Diff,COT
H,3,Coralline algae,112,,47,
H,3,Coralline algae Porolithon,115,,3,
H,3,Carbonate,152,,37,
H,3,Favites abdita,159,,7,
H,3,Carbonate,170,,11,
H,3,Coralline algae Porolithon,178,,8,
H,3,Porites lichen,183,,5,
H,3,Sand and Rubble,197,,14,
H,3,Carbonate,205,,8,
H,3,Porites encrusting,230,,25,
H,3,Pocillopora verrucosa,241,,11,
H,3,Montipora encrusting,253,,12,
H,3,Carbonate,280,,27,
H,3,Montipora encrusting,282,,2,
H,3,Carbonate,302,,20,
H,3,Montipora encrusting,327,,25,
H,3,Carbonate,358,,31,
H,3,Montipora encrusting,382,,24,
H,3,Carbonate,385,,3,
H,3,Goniastrea retiformis,392,,7,
H,3,Montipora encrusting,401,,9,
H,3,Carbonate,435,,34,
H,3,Platygyra daedalea,442,,7,
H,3,Carbonate,565,,123,
H,3,Coralline algae Porolithon,573,,8,
H,3,Montipora encrusting,585,,12,
H,3,Carbonate,602,,17,
H,3,Montipora encrusting,609,,7,
H,3,Coralline algae Porolithon,630,,21,
H,3,Montipora encrusting,653,,23,
H,3,Acropora nasuta,663,,10,
H,3,Carbonate,702,,39,
H,3,Coralline algae Porolithon,725,,23,
H,3,Favites pentagona,728,,3,
H,3,Coralline algae Porolithon,743,,15,
H,3,Carbonate,823,,80,
H,3,Porites lichen,842,,19,
H,3,Acropora hyacinthus,847,,5,
H,3,Pocillopora verrucosa,861,,14,
H,3,Carbonate,1000,,139,
H,4,Acropora austera,3,9.6,3,
H,4,Carbonate,32,,29,
H,4,Pocillopora eydouxi,42,,10,
H,4,Carbonate,55,,13,
H,4,Acropora hyacinthus,57,,2,
H,4,Carbonate,212,,155,
H,4,Porites lichen,215,,3,
H,4,Carbonate,230,,15,
H,4,Favites pentagona,243,,13,
H,4,Carbonate,245,,2,
H,4,Porites lichen,257,,12,
H,4,Carbonate,342,,85,
H,4,Montipora encrusting,352,,10,
H,4,Carbonate,358,,6,
H,4,Montipora encrusting,364,,6,
H,4,Carbonate,395,,31,
H,4,Coralline algae Porolithon,405,,10,
H,4,Pocillopora verrucosa,417,,12,
H,4,Carbonate,422,,5,
H,4,Galaxea fascicularis,427,,5,
H,4,Carbonate,470,,43,
H,4,Halimeda,474,,4,
H,4,Coralline algae Porolithon,499,,25,
H,4,Halimeda,503,,4,
H,4,Carbonate,526,,23,
H,4,Galaxea fascicularis,535,,9,
H,4,Carbonate,551,,16,
H,4,Coralline algae Porolithon,562,,11,
H,4,Carbonate,593,,31,
H,4,Coralline algae Porolithon,603,,10,
H,4,Goniastrea retiformis,625,,22,
H,4,Montipora encrusting,631,,6,
H,4,Carbonate,653,,22,
H,4,Montipora encrusting,667,,14,
H,4,Carbonate,691,,24,
H,4,Montipora encrusting,702,,11,
H,4,Carbonate,715,,13,
H,4,Hydnophora microconus,721,,6,
H,4,Carbonate,723,,2,
H,4,Montipora encrusting,737,,14,
H,4,Carbonate,741,,4,
H,4,Montipora encrusting,745,,4,
H,4,Carbonate,782,,37,
H,4,Goniastrea retiformis,795,,13,
H,4,Carbonate,852,,57,
H,4,Porites lichen,857,,5,
H,4,Goniastrea retiformis,863,,6,
H,4,Carbonate,941,,78,
H,4,Montipora encrusting,945,,4,
H,4,Porites lobata,953,,8,
H,4,Carbonate,995,,42,
H,4,Halimeda,1000,,5,
H,5,Carbonate,21,9.2,21,
H,5,Galaxea fascicularis,32,,11,
H,5,Coralline algae Porolithon,62,,30,
H,5,Coralline algae Lithothamnion,65,,3,
H,5,Carbonate,91,,26,
H,5,Coralline algae Porolithon,213,,122,
H,5,Carbonate,231,,18,
H,5,Goniastrea retiformis,235,,4,
H,5,Coralline algae Porolithon,250,,15,
H,5,Carbonate,270,,20,
H,5,Dead Acropora,285,,15,
H,5,Montipora encrusting,295,,10,
H,5,Coralline algae,311,,16,
H,5,Montipora encrusting,330,,19,
H,5,Carbonate,365,,35,
H,5,Montipora encrusting,372,,7,
H,5,Coralline algae Porolithon,402,,30,
H,5,Montipora encrusting,404,,2,
H,5,Coralline algae Porolithon,410,,6,
H,5,Leptoria phrygia,417,,7,
H,5,Carbonate,463,,46,
H,5,Goniastrea retiformis,465,,2,
H,5,Carbonate,531,,66,
H,5,Coralline algae Lithothamnion,541,,10,
H,5,Carbonate,545,,4,
H,5,Goniastrea retiformis,552,,7,
H,5,Carbonate,595,,43,
H,5,Coralline algae,600,,5,
H,5,Carbonate,652,,52,
H,5,Montipora encrusting,667,,15,
H,5,Coralline algae Lithothamnion,671,,4,
H,5,Montipora encrusting,684,,13,
H,5,Carbonate,712,,28,
H,5,Montipora encrusting,725,,13,
H,5,Carbonate,728,,3,
H,5,Montipora encrusting,743,,15,
H,5,Carbonate,747,,4,
H,5,Montipora encrusting,797,,50,
H,5,Carbonate,810,,13,
H,5,Pocillopora verrucosa,820,,10,
H,5,Montipora encrusting,851,,31,
H,5,Carbonate,865,,14,
H,5,Coralline algae Lithothamnion,870,,5,
H,5,Carbonate,873,,3,
H,5,Galaxea fascicularis,881,,8,
H,5,Coralline algae Porolithon,922,,41,
H,5,Carbonate,926,,4,
H,5,Coralline algae Porolithon,945,,19,
H,5,Carbonate,1000,,55,
H,6,Coralline algae Porolithon,4,9.5,4,
H,6,Goniastrea retiformis,6,,2,
H,6,Carbonate,20,,14,
H,6,Porites encrusting,28,,8,
H,6,Montipora encrusting,35,,7,
H,6,Carbonate,37,,2,
H,6,Montipora encrusting,81,,44,
H,6,Sand and Rubble,95,,14,
H,6,Carbonate,102,,7,
H,6,Porites encrusting,125,,23,
H,6,Goniastrea retiformis,130,,5,
H,6,Coralline algae Porolithon,143,,13,
H,6,Carbonate,155,,12,
H,6,Montipora encrusting,163,,8,
H,6,Carbonate,165,,2,
H,6,Porites encrusting,183,,18,
H,6,Montipora encrusting,205,,22,
H,6,Carbonate,218,,13,
H,6,Galaxea fascicularis,228,,10,
H,6,Carbonate,235,,7,
H,6,Galaxea fascicularis,242,,7,
H,6,Cyphastrea chalcidicum,250,,8,
H,6,Galaxea fascicularis,255,,5,
H,6,Montipora encrusting,258,,3,
H,6,Galaxea fascicularis,278,,20,
H,6,Carbonate,285,,7,
H,6,Montipora encrusting,312,,27,
H,6,Carbonate,315,,3,
H,6,Montipora encrusting,325,,10,
H,6,Platygyra daedalea,328,,3,
H,6,Carbonate,351,,23,
H,6,Montipora encrusting,375,,24,
H,6,Carbonate,395,,20,
H,6,Porites lichen,405,,10,
H,6,Montipora encrusting,412,,7,
H,6,Dead Acropora,457,,45,
H,6,Montipora encrusting,463,,6,
H,6,Carbonate,470,,7,
H,6,Porites lichen,491,,21,
H,6,Favites pentagona,498,,7,
H,6,Coralline algae Porolithon,502,,4,
H,6,Porites lichen,521,,19,
H,6,Carbonate,695,,174,
H,6,Macroalgae Red,752,,57,
H,6,Carbonate,941,,189,
H,6,Millepora exesa,962,,21,
H,6,Carbonate,981,,19,
H,6,Cyphastrea chalcidicum,987,,6,
H,6,Carbonate,1000,,13,
I,1,Pocillopora verrucosa,18,9,18,
I,1,Carbonate,29,,11,
I,1,Dead Platygyra,75,,46,
I,1,Coralline algae Porolithon,110,,35,
I,1,Montipora encrusting,125,,15,
I,1,Coralline algae,132,,7,
I,1,Dead Acropora,153,,21,
I,1,Coralline algae Porolithon,164,,11,
I,1,Montipora encrusting,201,,37,
I,1,Carbonate,231,,30,
I,1,Montipora encrusting,252,,21,
I,1,Carbonate,262,,10,
I,1,Coralline algae Porolithon,273,,11,
I,1,Carbonate,351,,78,
I,1,Coralline algae Porolithon,365,,14,
I,1,Goniastrea retiformis,369,,4,
I,1,Carbonate,371,,2,
I,1,Montipora encrusting,378,,7,
I,1,Carbonate,394,,16,
I,1,Sponge encrusting,405,,11,
I,1,Coralline algae Porolithon,425,,20,
I,1,Carbonate,427,,2,
I,1,Montipora encrusting,447,,20,
I,1,Carbonate,492,,45,
I,1,Montipora encrusting,535,,43,
I,1,Carbonate,582,,47,
I,1,Coralline algae Porolithon,587,,5,
I,1,Acropora hyacinthus,589,,2,
I,1,Coralline algae Porolithon,605,,16,
I,1,Carbonate,621,,16,
I,1,Pocillopora eydouxi,637,,16,
I,1,Coralline algae Porolithon,648,,11,
I,1,Dead Acropora,670,,22,
I,1,Montipora encrusting,672,,2,
I,1,Carbonate,720,,48,
I,1,Coralline algae,735,,15,
I,1,Carbonate,755,,20,
I,1,Dead Acropora,782,,27,
I,1,Carbonate,785,,3,
I,1,Porites rus,791,,6,
I,1,Carbonate,797,,6,
I,1,Montipora encrusting,815,,18,
I,1,Goniastrea retiformis,828,,13,
I,1,Carbonate,831,,3,
I,1,Pocillopora verrucosa,842,,11,
I,1,Sponge encrusting,865,,23,
I,1,Montipora encrusting,875,,10,
I,1,Carbonate,884,,9,
I,1,Sponge encrusting,890,,6,
I,1,Porites encrusting,894,,4,
I,1,Porites rus,921,,27,
I,1,Coralline algae,962,,41,
I,1,Carbonate,987,,25,
I,1,Galaxea fascicularis,1000,,13,
I,2,Carbonate,10,9.5,10,
I,2,Montipora encrusting,40,,30,
I,2,Carbonate,45,,5,
I,2,Montipora encrusting,63,,18,
I,2,Carbonate,74,,11,
I,2,Montipora encrusting,86,,12,
I,2,Carbonate,92,,6,
I,2,Montipora encrusting,105,,13,
I,2,Platygyra daedalea,107,,2,
I,2,Carbonate,137,,30,
I,2,Favites pentagona,147,,10,
I,2,Carbonate,148,,1,
I,2,Platygyra sinensis,152,,4,
I,2,Carbonate,163,,11,
I,2,Porites encrusting,167,,4,
I,2,Carbonate,192,,25,
I,2,Porites rus,201,,9,
I,2,Carbonate,235,,34,
I,2,Montipora encrusting,242,,7,
I,2,Carbonate,283,,41,
I,2,Galaxea fascicularis,287,,4,
I,2,Carbonate,325,,38,
