site n,site,transect,species,diameter cm
22,O,2,NA,NA
22,O,3,NA,NA
22,O,4,NA,NA
22,O,5,NA,NA
22,O,6,NA,NA
23,C,1,NA,NA
23,C,2,NA,NA
23,C,3,other,1.5
23,C,4,NA,NA
23,C,5,other,1
23,C,5,other,2
23,C,6,NA,NA
24,A,1,other,1
24,A,1,Echinometra,1.5
24,A,2,NA,NA
24,A,3,NA,NA
24,A,4,NA,NA
24,A,5,NA,NA
24,A,6,Echinometra,1.5
